OX457036.1_t_gene1_mRNA1	OX457036.1_48527-57342
OX457036.1_t_gene46_mRNA55	OX457036.1_1353241-1359104
OX457036.1_t_gene47_mRNA56	OX457036.1_1359105-1364967
OX457036.1_t_gene48_mRNA57	OX457036.1_1369869-1375867
OX457036.1_t_gene49_mRNA58	OX457036.1_1378164-1382766
OX457036.1_t_gene50_mRNA59	OX457036.1_1382767-1388011
OX457036.1_t_gene51_mRNA60	OX457036.1_1388012-1392267
OX457036.1_t_gene52_mRNA61	OX457036.1_1395179-1400585
OX457036.1_t_gene53_mRNA62	OX457036.1_1400586-1404991
OX457036.1_t_gene54_mRNA63	OX457036.1_1404992-1409992
OX457036.1_t_gene55_mRNA64	OX457036.1_1411235-1417227
OX457036.1_t_gene56_mRNA65	OX457036.1_1418271-1424226
OX457036.1_t_gene57_mRNA66	OX457036.1_1426875-1432867
OX457036.1_t_gene58_mRNA67	OX457036.1_1438505-1444497
OX457036.1_t_gene59_mRNA68	OX457036.1_1447370-1453365
OX457036.1_t_gene60_mRNA69	OX457036.1_1454644-1460636
OX457036.1_t_gene61_mRNA70	OX457036.1_1462339-1467582
OX457036.1_t_gene62_mRNA71	OX457036.1_1467583-1474335
OX457036.1_t_gene63_mRNA72	OX457036.1_1479846-1485820
OX457036.1_t_gene64_mRNA73	OX457036.1_1486251-1492451
OX457036.1_t_gene65_mRNA74	OX457036.1_1492452-1501245
OX457036.1_t_gene66_mRNA75	OX457036.1_1521585-1527213
OX457036.1_t_gene67_mRNA76	OX457036.1_1527337-1533329
OX457036.1_t_gene68_mRNA77	OX457036.1_1535053-1541030
OX457036.1_t_gene69_mRNA78	OX457036.1_1541109-1547165
OX457036.1_t_gene70_mRNA79	OX457036.1_1555228-1561001
OX457036.1_t_gene71_mRNA80	OX457036.1_1570100-1573449
OX457036.1_t_gene72_mRNA81	OX457036.1_1573450-1576843
OX457036.1_t_gene73_mRNA82	OX457036.1_1696383-1701967
OX457036.1_t_gene74_mRNA83	OX457036.1_1846457-1864192
OX457036.1_t_gene75_mRNA84	OX457036.1_1864193-1870189
OX457036.1_t_gene76_mRNA85	OX457036.1_1897171-1902645
OX457036.1_t_gene77_mRNA86	OX457036.1_1913949-1922167
OX457036.1_t_gene78_mRNA96	OX457036.1_1922168-1926699
OX457036.1_t_gene79_mRNA98	OX457036.1_1958047-1966250
OX457036.1_t_gene80_mRNA99	OX457036.1_1998307-2009445
OX457036.1_t_gene81_mRNA100	OX457036.1_2071006-2080256
OX457036.1_t_gene82_mRNA101	OX457036.1_2203474-2208920
OX457036.1_t_gene83_mRNA102	OX457036.1_2264696-2270157
OX457036.1_t_gene84_mRNA103	OX457036.1_2308772-2319267
OX457036.1_t_gene85_mRNA106	OX457036.1_2379310-2387763
OX457036.1_t_gene86_mRNA107	OX457036.1_2476250-2487122
OX457036.1_t_gene87_mRNA112	OX457036.1_2561265-2567109
OX457036.1_t_gene88_mRNA113	OX457036.1_2567110-2573006
OX457036.1_t_gene89_mRNA114	OX457036.1_2577427-2583107
OX457036.1_t_gene90_mRNA115	OX457036.1_2594297-2600899
OX457036.1_t_gene91_mRNA116	OX457036.1_2792074-2797670
OX457036.1_t_gene92_mRNA117	OX457036.1_2823517-2831339
OX457036.1_t_gene93_mRNA124	OX457036.1_2975037-2982552
OX457036.1_t_gene94_mRNA125	OX457036.1_2982553-2986656
OX457036.1_t_gene95_mRNA126	OX457036.1_3028280-3040687
OX457036.1_t_gene96_mRNA127	OX457036.1_3040688-3056300
OX457036.1_t_gene98_mRNA130	OX457036.1_3121791-3127296
OX457036.1_t_gene99_mRNA131	OX457036.1_3132591-3140442
OX457036.1_t_gene100_mRNA132	OX457036.1_3169142-3174603
OX457036.1_t_gene101_mRNA133	OX457036.1_3247902-3253189
OX457036.1_t_gene102_mRNA134	OX457036.1_3254876-3258078
OX457036.1_t_gene103_mRNA135	OX457036.1_3258079-3261568
OX457036.1_t_gene104_mRNA136	OX457036.1_3286754-3292645
OX457036.1_t_gene105_mRNA137	OX457036.1_3297799-3304519
OX457036.1_t_gene106_mRNA138	OX457036.1_3359681-3374933
OX457036.1_t_gene107_mRNA139	OX457036.1_3570104-3579686
OX457036.1_t_gene108_mRNA143	OX457036.1_3648454-3654286
OX457036.1_t_gene109_mRNA144	OX457036.1_3654287-3662361
OX457036.1_t_gene110_mRNA148	OX457036.1_3680134-3686759
OX457036.1_t_gene111_mRNA149	OX457036.1_3780707-3790202
OX457036.1_t_gene112_mRNA155	OX457036.1_3814901-3822243
OX457036.1_t_gene113_mRNA157	OX457036.1_3837508-3856675
OX457036.1_t_gene115_mRNA168	OX457036.1_3861322-3869876
OX457036.1_t_gene116_mRNA169	OX457036.1_3889617-3895570
OX457036.1_t_gene117_mRNA171	OX457036.1_3896603-3901932
OX457036.1_t_gene118_mRNA172	OX457036.1_3908391-3915346
OX457036.1_t_gene119_mRNA173	OX457036.1_3930278-3940123
OX457036.1_t_gene120_mRNA174	OX457036.1_3979191-3985000
OX457036.1_t_gene121_mRNA175	OX457036.1_3989830-3998736
OX457036.1_t_gene122_mRNA176	OX457036.1_3998737-4003955
OX457036.1_t_gene123_mRNA177	OX457036.1_4127943-4134151
OX457036.1_t_gene124_mRNA180	OX457036.1_4144144-4154304
OX457036.1_t_gene125_mRNA181	OX457036.1_4315086-4321507
OX457036.1_t_gene126_mRNA182	OX457036.1_4340636-4347960
OX457036.1_t_gene127_mRNA183	OX457036.1_4519361-4525870
OX457036.1_t_gene128_mRNA184	OX457036.1_4536556-4541279
OX457036.1_t_gene129_mRNA185	OX457036.1_4541280-4545681
OX457036.1_t_gene130_mRNA186	OX457036.1_4562159-4573433
OX457036.1_t_gene131_mRNA187	OX457036.1_4578111-4598585
OX457036.1_t_gene132_mRNA192	OX457036.1_4640716-4646111
OX457036.1_t_gene133_mRNA193	OX457036.1_4646921-4658013
OX457036.1_t_gene134_mRNA199	OX457036.1_4707990-4712349
OX457036.1_t_gene135_mRNA200	OX457036.1_4712350-4715477
OX457036.1_t_gene136_mRNA201	OX457036.1_4808856-4817370
OX457036.1_t_gene137_mRNA202	OX457036.1_4865263-4875055
OX457036.1_t_gene138_mRNA203	OX457036.1_4890969-4897416
OX457036.1_t_gene139_mRNA204	OX457036.1_4996363-5002136
OX457036.1_t_gene140_mRNA205	OX457036.1_5013697-5019623
OX457036.1_t_gene141_mRNA207	OX457036.1_5033407-5039573
OX457036.1_t_gene142_mRNA208	OX457036.1_5100519-5112036
OX457036.1_t_gene143_mRNA209	OX457036.1_5114714-5122809
OX457036.1_t_gene144_mRNA210	OX457036.1_5329126-5337128
OX457036.1_t_gene145_mRNA211	OX457036.1_5345112-5353114
OX457036.1_t_gene146_mRNA212	OX457036.1_5460105-5465676
OX457036.1_t_gene147_mRNA214	OX457036.1_5505955-5511224
OX457036.1_t_gene148_mRNA215	OX457036.1_5660695-5666305
OX457036.1_t_gene149_mRNA216	OX457036.1_5669796-5677767
OX457036.1_t_gene150_mRNA221	OX457036.1_6541078-6546734
OX457036.1_t_gene151_mRNA222	OX457036.1_6676476-6682124
OX457036.1_t_gene152_mRNA223	OX457036.1_6723976-6733310
OX457036.1_t_gene153_mRNA228	OX457036.1_6794286-6799750
OX457036.1_t_gene154_mRNA229	OX457036.1_6863888-6870987
OX457036.1_t_gene155_mRNA230	OX457036.1_6911970-6917541
OX457036.1_t_gene156_mRNA232	OX457036.1_7006659-7015885
OX457036.1_t_gene157_mRNA235	OX457036.1_7164907-7170571
OX457036.1_t_gene158_mRNA236	OX457036.1_7238479-7246729
OX457036.1_t_gene159_mRNA245	OX457036.1_7345872-7355048
OX457036.1_t_gene160_mRNA250	OX457036.1_7456298-7463436
OX457036.1_t_gene161_mRNA251	OX457036.1_7657962-7666661
OX457036.1_t_gene162_mRNA252	OX457036.1_8153735-8170145
OX457036.1_t_gene164_mRNA256	OX457036.1_8423260-8428734
OX457036.1_t_gene165_mRNA257	OX457036.1_8429263-8434737
OX457036.1_t_gene166_mRNA258	OX457036.1_8626857-8633495
OX457036.1_t_gene167_mRNA260	OX457036.1_8644704-8650189
OX457036.1_t_gene168_mRNA261	OX457036.1_9044419-9051251
OX457036.1_t_gene169_mRNA262	OX457036.1_9258976-9266005
OX457036.1_t_gene170_mRNA263	OX457036.1_9335615-9342444
OX457036.1_t_gene171_mRNA266	OX457036.1_9346434-9352117
OX457036.1_t_gene172_mRNA267	OX457036.1_9898780-9904419
OX457036.1_t_gene173_mRNA268	OX457036.1_9910247-9921061
OX457036.1_t_gene174_mRNA269	OX457036.1_9921062-9925993
OX457036.1_t_gene175_mRNA270	OX457036.1_9925994-9930540
OX457036.1_t_gene176_mRNA271	OX457036.1_9946214-9957277
OX457036.1_t_gene177_mRNA272	OX457036.1_9957278-9978506
OX457036.1_t_gene178_mRNA273	OX457036.1_9979431-9986135
OX457036.1_t_gene179_mRNA274	OX457036.1_9993286-10000490
OX457036.1_t_gene180_mRNA275	OX457036.1_10009217-10038260
OX457036.1_t_gene181_mRNA276	OX457036.1_10082478-10095441
OX457036.1_t_gene182_mRNA277	OX457036.1_10097694-10102280
OX457036.1_t_gene183_mRNA278	OX457036.1_10102281-10115265
OX457036.1_t_gene184_mRNA279	OX457036.1_10115266-10158893
OX457036.1_t_gene185_mRNA280	OX457036.1_10163186-10169777
OX457036.1_t_gene186_mRNA281	OX457036.1_10169778-10176854
OX457036.1_t_gene187_mRNA282	OX457036.1_10176855-10181495
OX457036.1_t_gene188_mRNA283	OX457036.1_10182323-10203090
OX457036.1_t_gene189_mRNA284	OX457036.1_10205252-10211280
OX457036.1_t_gene190_mRNA285	OX457036.1_10216378-10228154
OX457036.1_t_gene191_mRNA286	OX457036.1_10231148-10249269
OX457036.1_t_gene192_mRNA287	OX457036.1_10249270-10250865
OX457036.1_t_gene193_mRNA288	OX457036.1_10250866-10263303
OX457036.1_t_gene194_mRNA289	OX457036.1_10263304-10273247
OX457036.1_t_gene195_mRNA290	OX457036.1_10275088-10290661
OX457036.1_t_gene196_mRNA291	OX457036.1_10298634-10302512
OX457036.1_t_gene197_mRNA292	OX457036.1_10302513-10304196
OX457036.1_t_gene198_mRNA293	OX457036.1_10304197-10318746
OX457036.1_t_gene199_mRNA294	OX457036.1_10328930-10341993
OX457036.1_t_gene200_mRNA295	OX457036.1_10345403-10364194
OX457036.1_t_gene201_mRNA296	OX457036.1_10364461-10369820
OX457036.1_t_gene202_mRNA297	OX457036.1_10374730-10382407
OX457036.1_t_gene203_mRNA298	OX457036.1_10382497-10389321
OX457036.1_t_gene204_mRNA299	OX457036.1_10391569-10396787
OX457036.1_t_gene205_mRNA300	OX457036.1_10401645-10407230
OX457036.1_t_gene206_mRNA301	OX457036.1_10413134-10424326
OX457036.1_t_gene207_mRNA302	OX457036.1_10428047-10450995
OX457036.1_t_gene208_mRNA303	OX457036.1_10452875-10486284
OX457036.1_t_gene209_mRNA304	OX457036.1_10495298-10507106
OX457036.1_t_gene210_mRNA305	OX457036.1_10514465-10527268
OX457036.1_t_gene211_mRNA306	OX457036.1_10533789-10538161
OX457036.1_t_gene212_mRNA307	OX457036.1_10538162-10552728
OX457036.1_t_gene213_mRNA308	OX457036.1_10565555-10575274
OX457036.1_t_gene214_mRNA309	OX457036.1_10578746-10584702
OX457036.1_t_gene215_mRNA310	OX457036.1_10585341-10604244
OX457036.1_t_gene216_mRNA311	OX457036.1_10613588-10629777
OX457036.1_t_gene217_mRNA312	OX457036.1_10632029-10655770
OX457036.1_t_gene218_mRNA313	OX457036.1_10655771-10661809
OX457036.1_t_gene219_mRNA314	OX457036.1_10664272-10679299
OX457036.1_t_gene220_mRNA315	OX457036.1_10680028-10685534
OX457036.1_t_gene221_mRNA316	OX457036.1_10696814-10706294
OX457036.1_t_gene222_mRNA317	OX457036.1_10706295-10726994
OX457036.1_t_gene223_mRNA318	OX457036.1_10726995-10731928
OX457036.1_t_gene224_mRNA319	OX457036.1_10742445-10756440
OX457036.1_t_gene225_mRNA322	OX457036.1_10772550-10783247
OX457036.1_t_gene226_mRNA323	OX457036.1_10794967-10802842
OX457036.1_t_gene227_mRNA324	OX457036.1_10802843-10815041
OX457036.1_t_gene228_mRNA325	OX457036.1_10831207-10841502
OX457036.1_t_gene229_mRNA326	OX457036.1_10841503-10847628
OX457036.1_t_gene230_mRNA327	OX457036.1_10853017-10860845
OX457036.1_t_gene231_mRNA328	OX457036.1_10860846-10889581
OX457036.1_t_gene232_mRNA329	OX457036.1_10908564-10916349
OX457036.1_t_gene233_mRNA330	OX457036.1_10916350-10921150
OX457036.1_t_gene234_mRNA331	OX457036.1_10928283-10936080
OX457036.1_t_gene235_mRNA332	OX457036.1_10949170-10954916
OX457036.1_t_gene236_mRNA333	OX457036.1_10958716-10973168
OX457036.1_t_gene237_mRNA334	OX457036.1_10981454-11006179
OX457036.1_t_gene238_mRNA335	OX457036.1_11006180-11013229
OX457036.1_t_gene239_mRNA336	OX457036.1_11013230-11016360
OX457036.1_t_gene240_mRNA337	OX457036.1_11034084-11045420
OX457036.1_t_gene241_mRNA338	OX457036.1_11045421-11061034
OX457036.1_t_gene242_mRNA339	OX457036.1_11067060-11072560
OX457036.1_t_gene243_mRNA340	OX457036.1_11088540-11104071
OX457036.1_t_gene244_mRNA341	OX457036.1_11107302-11119488
OX457036.1_t_gene245_mRNA342	OX457036.1_11119489-11121979
OX457036.1_t_gene246_mRNA343	OX457036.1_11121980-11128150
OX457036.1_t_gene247_mRNA344	OX457036.1_11128186-11137943
OX457036.1_t_gene248_mRNA345	OX457036.1_11138962-11160251
OX457036.1_t_gene249_mRNA346	OX457036.1_11160252-11171160
OX457036.1_t_gene250_mRNA347	OX457036.1_11171161-11181152
OX457036.1_t_gene251_mRNA349	OX457036.1_11181153-11184579
OX457036.1_t_gene252_mRNA350	OX457036.1_11184580-11195585
OX457036.1_t_gene253_mRNA351	OX457036.1_11195586-11198238
OX457036.1_t_gene254_mRNA352	OX457036.1_11198239-11224641
OX457036.1_t_gene255_mRNA353	OX457036.1_11224642-11232126
OX457036.1_t_gene256_mRNA354	OX457036.1_11239673-11280932
OX457036.1_t_gene257_mRNA355	OX457036.1_11280933-11286145
OX457036.1_t_gene258_mRNA356	OX457036.1_11305719-11308798
OX457036.1_t_gene259_mRNA357	OX457036.1_11308799-11313807
OX457036.1_t_gene260_mRNA358	OX457036.1_11315565-11337440
OX457036.1_t_gene261_mRNA359	OX457036.1_11337441-11356370
OX457036.1_t_gene262_mRNA360	OX457036.1_11361637-11422171
OX457036.1_t_gene263_mRNA361	OX457036.1_11422172-11435579
OX457036.1_t_gene264_mRNA362	OX457036.1_11435580-11443210
OX457036.1_t_gene265_mRNA363	OX457036.1_11448182-11453555
OX457036.1_t_gene266_mRNA364	OX457036.1_11453556-11457157
OX457036.1_t_gene267_mRNA365	OX457036.1_11466322-11474195
OX457036.1_t_gene268_mRNA366	OX457036.1_11482905-11491759
OX457036.1_t_gene269_mRNA367	OX457036.1_11494767-11502610
OX457036.1_t_gene270_mRNA368	OX457036.1_11502775-11514793
OX457036.1_t_gene271_mRNA369	OX457036.1_11516082-11527594
OX457036.1_t_gene272_mRNA370	OX457036.1_11536808-11545977
OX457036.1_t_gene273_mRNA371	OX457036.1_11545978-11549679
OX457036.1_t_gene274_mRNA372	OX457036.1_11549680-11557614
OX457036.1_t_gene275_mRNA373	OX457036.1_11557615-11566082
OX457036.1_t_gene276_mRNA374	OX457036.1_11566083-11569548
OX457036.1_t_gene277_mRNA376	OX457036.1_11573906-11577886
OX457036.1_t_gene278_mRNA377	OX457036.1_11577887-11587986
OX457036.1_t_gene279_mRNA378	OX457036.1_11593696-11597768
OX457036.1_t_gene280_mRNA379	OX457036.1_11597769-11604021
OX457036.1_t_gene281_mRNA380	OX457036.1_11607350-11614615
OX457036.1_t_gene282_mRNA381	OX457036.1_11639567-11643352
OX457036.1_t_gene283_mRNA382	OX457036.1_11643353-11647441
OX457036.1_t_gene284_mRNA383	OX457036.1_11652262-11660141
OX457036.1_t_gene285_mRNA384	OX457036.1_11664412-11669976
OX457036.1_t_gene286_mRNA385	OX457036.1_11669977-11680124
OX457036.1_t_gene287_mRNA386	OX457036.1_11680125-11684643
OX457036.1_t_gene288_mRNA387	OX457036.1_11692839-11700715
OX457036.1_t_gene289_mRNA388	OX457036.1_11701158-11705056
OX457036.1_t_gene290_mRNA389	OX457036.1_11705057-11707890
OX457036.1_t_gene291_mRNA391	OX457036.1_11707891-11712270
OX457036.1_t_gene292_mRNA392	OX457036.1_11717931-11726890
OX457036.1_t_gene293_mRNA393	OX457036.1_11731922-11738984
OX457036.1_t_gene294_mRNA394	OX457036.1_11742975-11751534
OX457036.1_t_gene295_mRNA396	OX457036.1_11762654-11777359
OX457036.1_t_gene296_mRNA397	OX457036.1_11777360-11784303
OX457036.1_t_gene297_mRNA398	OX457036.1_11786632-11798064
OX457036.1_t_gene298_mRNA399	OX457036.1_11798065-11802432
OX457036.1_t_gene299_mRNA400	OX457036.1_11803586-11809105
OX457036.1_t_gene300_mRNA401	OX457036.1_11816728-11825468
OX457036.1_t_gene301_mRNA402	OX457036.1_11825469-11831194
OX457036.1_t_gene302_mRNA403	OX457036.1_11831195-11840855
OX457036.1_t_gene303_mRNA404	OX457036.1_11840856-11842493
OX457036.1_t_gene304_mRNA405	OX457036.1_11842494-11846820
OX457036.1_t_gene305_mRNA406	OX457036.1_11859535-11875918
OX457036.1_t_gene306_mRNA407	OX457036.1_11875919-11884036
OX457036.1_t_gene307_mRNA408	OX457036.1_11884037-11887691
OX457036.1_t_gene308_mRNA409	OX457036.1_11887692-11904012
OX457036.1_t_gene309_mRNA410	OX457036.1_11904211-11910257
OX457036.1_t_gene310_mRNA419	OX457036.1_11913513-11921625
OX457036.1_t_gene311_mRNA420	OX457036.1_11921626-11927191
OX457036.1_t_gene312_mRNA421	OX457036.1_11927192-11930327
OX457036.1_t_gene313_mRNA422	OX457036.1_11930328-11932331
OX457036.1_t_gene314_mRNA423	OX457036.1_11932332-11939839
OX457036.1_t_gene315_mRNA424	OX457036.1_11941742-11947574
OX457036.1_t_gene316_mRNA425	OX457036.1_11947575-11955561
OX457036.1_t_gene317_mRNA426	OX457036.1_11955562-11961148
OX457036.1_t_gene318_mRNA427	OX457036.1_11961177-11967293
OX457036.1_t_gene319_mRNA429	OX457036.1_11968563-11972122
OX457036.1_t_gene320_mRNA430	OX457036.1_11972123-11974375
OX457036.1_t_gene321_mRNA431	OX457036.1_11974376-11980129
OX457036.1_t_gene322_mRNA432	OX457036.1_11980130-11985466
OX457036.1_t_gene323_mRNA433	OX457036.1_11985738-11991315
OX457036.1_t_gene324_mRNA434	OX457036.1_11994159-12000231
OX457036.1_t_gene325_mRNA435	OX457036.1_12000232-12004427
OX457036.1_t_gene326_mRNA436	OX457036.1_12004428-12012041
OX457036.1_t_gene327_mRNA437	OX457036.1_12012042-12018116
OX457036.1_t_gene328_mRNA438	OX457036.1_12019012-12025892
OX457036.1_t_gene329_mRNA439	OX457036.1_12028102-12034370
OX457036.1_t_gene330_mRNA440	OX457036.1_12034371-12037291
OX457036.1_t_gene331_mRNA442	OX457036.1_12037292-12054883
OX457036.1_t_gene332_mRNA443	OX457036.1_12061161-12068481
OX457036.1_t_gene333_mRNA444	OX457036.1_12068482-12078355
OX457036.1_t_gene334_mRNA445	OX457036.1_12086147-12091488
OX457036.1_t_gene335_mRNA446	OX457036.1_12091865-12103653
OX457036.1_t_gene336_mRNA447	OX457036.1_12103654-12107566
OX457036.1_t_gene337_mRNA450	OX457036.1_12118399-12125980
OX457036.1_t_gene338_mRNA451	OX457036.1_12125981-12133939
OX457036.1_t_gene339_mRNA452	OX457036.1_12133940-12144845
OX457036.1_t_gene340_mRNA453	OX457036.1_12144898-12148503
OX457036.1_t_gene341_mRNA454	OX457036.1_12148504-12149093
OX457036.1_t_gene342_mRNA455	OX457036.1_12149094-12151282
OX457036.1_t_gene343_mRNA456	OX457036.1_12151283-12156275
OX457036.1_t_gene344_mRNA457	OX457036.1_12156276-12158877
OX457036.1_t_gene345_mRNA458	OX457036.1_12158878-12167080
OX457036.1_t_gene346_mRNA459	OX457036.1_12167081-12171252
OX457036.1_t_gene347_mRNA460	OX457036.1_12171253-12177883
OX457036.1_t_gene348_mRNA461	OX457036.1_12177884-12184077
OX457036.1_t_gene349_mRNA462	OX457036.1_12184078-12189165
OX457036.1_t_gene350_mRNA463	OX457036.1_12198715-12204827
OX457036.1_t_gene351_mRNA465	OX457036.1_12216674-12229176
OX457036.1_t_gene352_mRNA466	OX457036.1_12239727-12246404
OX457036.1_t_gene353_mRNA467	OX457036.1_12253460-12272906
OX457036.1_t_gene354_mRNA468	OX457036.1_12281141-12287577
OX457036.1_t_gene355_mRNA469	OX457036.1_12306090-12312511
OX457036.1_t_gene356_mRNA470	OX457036.1_12314007-12320557
OX457036.1_t_gene357_mRNA471	OX457036.1_12320558-12323286
OX457036.1_t_gene358_mRNA472	OX457036.1_12323287-12328362
OX457036.1_t_gene359_mRNA473	OX457036.1_12340808-12369686
OX457036.1_t_gene360_mRNA474	OX457036.1_12386607-12412044
OX457036.1_t_gene361_mRNA475	OX457036.1_12412045-12417280
OX457036.1_t_gene362_mRNA477	OX457036.1_12422982-12430096
OX457036.1_t_gene363_mRNA478	OX457036.1_12439179-12444479
OX457036.1_t_gene364_mRNA479	OX457036.1_12444480-12457386
OX457036.1_t_gene365_mRNA480	OX457036.1_12457387-12462654
OX457036.1_t_gene366_mRNA481	OX457036.1_12463609-12471473
OX457036.1_t_gene367_mRNA482	OX457036.1_12476234-12484802
OX457036.1_t_gene368_mRNA483	OX457036.1_12488651-12494052
OX457036.1_t_gene369_mRNA484	OX457036.1_12504188-12509957
OX457036.1_t_gene370_mRNA485	OX457036.1_12509958-12520720
OX457036.1_t_gene371_mRNA486	OX457036.1_12528860-12534204
OX457036.1_t_gene372_mRNA487	OX457036.1_12550006-12558476
OX457036.1_t_gene373_mRNA488	OX457036.1_12559484-12583024
OX457036.1_t_gene374_mRNA489	OX457036.1_12589106-12598494
OX457036.1_t_gene375_mRNA490	OX457036.1_12598495-12604636
OX457036.1_t_gene376_mRNA491	OX457036.1_12635558-12646780
OX457036.1_t_gene377_mRNA492	OX457036.1_12646781-12657708
OX457036.1_t_gene378_mRNA493	OX457036.1_12665088-12680194
OX457036.1_t_gene379_mRNA494	OX457036.1_12706103-12713667
OX457036.1_t_gene380_mRNA496	OX457036.1_12713668-12715501
OX457036.1_t_gene381_mRNA497	OX457036.1_12715502-12719722
OX457036.1_t_gene382_mRNA498	OX457036.1_12719723-12739367
OX457036.1_t_gene383_mRNA499	OX457036.1_12739368-12753619
OX457036.1_t_gene384_mRNA500	OX457036.1_12769383-12790067
OX457036.1_t_gene385_mRNA501	OX457036.1_12793888-12806303
OX457036.1_t_gene386_mRNA502	OX457036.1_12812021-12823054
OX457036.1_t_gene387_mRNA503	OX457036.1_12823191-12840943
OX457036.1_t_gene388_mRNA504	OX457036.1_12846190-12856900
OX457036.1_t_gene389_mRNA505	OX457036.1_12861103-12870974
OX457036.1_t_gene390_mRNA506	OX457036.1_12912178-12956599
OX457036.1_t_gene391_mRNA507	OX457036.1_12960383-12967876
OX457036.1_t_gene392_mRNA508	OX457036.1_12981220-13003601
OX457036.1_t_gene393_mRNA509	OX457036.1_13005308-13011992
OX457036.1_t_gene394_mRNA511	OX457036.1_13011993-13024371
OX457036.1_t_gene395_mRNA512	OX457036.1_13027769-13033390
OX457036.1_t_gene396_mRNA513	OX457036.1_13033391-13051997
OX457036.1_t_gene397_mRNA514	OX457036.1_13051998-13056982
OX457036.1_t_gene398_mRNA515	OX457036.1_13071631-13093020
OX457036.1_t_gene399_mRNA516	OX457036.1_13093021-13096945
OX457036.1_t_gene400_mRNA517	OX457036.1_13103229-13114337
OX457036.1_t_gene401_mRNA518	OX457036.1_13114804-13120993
OX457036.1_t_gene402_mRNA519	OX457036.1_13140825-13161161
OX457036.1_t_gene403_mRNA520	OX457036.1_13161162-13167725
OX457036.1_t_gene404_mRNA521	OX457036.1_13174347-13198336
OX457036.1_t_gene405_mRNA522	OX457036.1_13198864-13204259
OX457036.1_t_gene406_mRNA523	OX457036.1_13208278-13217182
OX457036.1_t_gene407_mRNA524	OX457036.1_13217980-13233457
OX457036.1_t_gene408_mRNA525	OX457036.1_13236355-13242510
OX457036.1_t_gene409_mRNA526	OX457036.1_13245746-13258991
OX457036.1_t_gene410_mRNA527	OX457036.1_13291167-13298161
OX457036.1_t_gene411_mRNA528	OX457036.1_13315940-13329801
OX457036.1_t_gene412_mRNA529	OX457036.1_13329802-13350797
OX457036.1_t_gene413_mRNA530	OX457036.1_13397191-13405858
OX457036.1_t_gene414_mRNA531	OX457036.1_13417049-13424327
OX457036.1_t_gene415_mRNA532	OX457036.1_13433797-13443716
